compound_ID,SMILES
compound_941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
compound_56904,CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1
compound_185775,Cc1ccc(NC(=O)N2CCCCC2)cc1Nc1nccc(-c2cccnc2)n1
compound_184742,Cc1ccc(NC(=O)Nc2cccc(N3CCCC3)c2)cc1Nc1nccc(-c2cccnc2)n1
compound_1642,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
compound_230285,Cc1ccc(NC(=O)c2ccc(N=NN(C)CO)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
compound_231634,Cc1ccc(NC(=O)c2ccc(CN(CCCl)CCCl)cc2)cc1Nc1nccc(-c2cccnc2)n1
compound_231633,Cc1ccc(NC(=O)c2ccc(CN(C)CCCl)cc2)cc1Nc1nccc(-c2cccnc2)n1
compound_231632,Cc1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1Nc1nccc(-c2cccnc2)n1
compound_536073,Cc1ccc(NC(=O)c2ccc(CN3CC[C@@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1.Cl
compound_206834,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
compound_205723,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1
compound_203343,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1
compound_383010,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Br)c2)cc1Nc1nccc(-c2cccnc2)n1
compound_205409,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(F)c2)cc1Nc1nccc(-c2cccnc2)n1
compound_1171086,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
compound_1171281,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
compound_1169705,Cc1ccc(C(=O)Nc2ccc(CN3CCCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12
compound_1171479,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2c1
compound_1171657,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]cnc2c1
compound_1171658,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]c(=O)[nH]c2c1
compound_1171835,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ncccn12
compound_1171836,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12
compound_1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
compound_1173423,CN1CCN(Cc2ccc(NC(=O)c3cccc(C#Cc4cnc5cccnn45)c3)cc2C(F)(F)F)CC1
compound_1173424,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(C#Cc4cnc5cccnn45)c3)cc2C(F)(F)F)CC1
compound_1173498,CN1CCN(Cc2ccc(NC(=O)c3ccc(F)c(C#Cc4cnc5cccnn45)c3)cc2C(F)(F)F)CC1
compound_1173200,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1CCc1cnc2cccnn12
compound_1173201,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1/C=C/c1cnc2cccnn12
compound_1242285,CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21
compound_1242286,COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br
compound_1242377,CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21
compound_1242378,C[C@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21
compound_1242468,C[C@@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21
compound_1242844,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1
compound_1241483,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F
compound_1241484,CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21
compound_1241579,C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21
compound_1240544,C[C@@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21
compound_1241481,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C
compound_1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21
compound_1233882,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21
compound_1241674,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21
compound_1230790,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21
compound_1234815,Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21
compound_1241241,CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21
compound_1242024,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12
compound_1242026,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O
compound_1242109,CCC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21
compound_1242110,CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21
compound_1242198,CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21
compound_1242200,COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1
compound_1242472,CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC
compound_1242660,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC
compound_1242751,COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1OC
compound_1242752,CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC
compound_1242847,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1
compound_1242848,CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21
compound_1241485,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N
compound_1241486,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO
compound_1241582,CC(C)n1nc(-c2cccc(CO)c2)c2c(N)ncnc21
compound_1241583,CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21
compound_1240545,CC(C)n1nc(-c2ccc(CC#N)cc2)c2c(N)ncnc21
compound_1241679,CC(C)n1nc(-c2cccc(C#N)c2)c2c(N)ncnc21
compound_1241680,CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21
compound_1241771,CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21
compound_1241772,CC(C)n1nc(-c2ccc(C#N)nc2)c2c(N)ncnc21
compound_1241390,
compound_1241391,CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21
compound_1241773,CC(=O)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1
compound_1241860,CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21
compound_1241861,CC(C)n1nc(-c2cc(F)c(C=O)c(F)c2)c2c(N)ncnc21
compound_1241946,CC(=O)c1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1
compound_1241948,CC(C)n1nc(-c2cccc(NS(C)(=O)=O)c2)c2c(N)ncnc21
compound_1242030,CC(C)n1nc(-c2ccc(NS(C)(=O)=O)cc2)c2c(N)ncnc21
compound_1242031,CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21
compound_1242032,CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21
compound_1241770,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNC1
compound_1241858,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCCNC1
compound_1241859,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1
compound_1241944,CC(C)n1nc(-c2ccc(C#N)c(O)c2)c2c(N)ncnc21
compound_1241945,CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21
compound_1242028,CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21
compound_1242029,COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1
compound_1242112,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O
compound_1242114,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O
compound_1242290,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC
compound_1242661,CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1
